t,x,y
0,-0.39,-2.65
1,0.19,0.25
2,2.48,0.0
3,-1.85,-0.77
4,1.33,1.92
5,0.96,0.44
6,0.6,0.88
7,3.35,0.78
8,0.83,-0.88
9,2.8,1.29
10,7.7,-1.81
11,4.82,2.56
12,3.5,1.5
13,4.06,0.35
14,5.01,-0.94
15,2.07,2.74
16,5.91,3.05
17,6.34,0.4
18,6.11,1.15
19,8.93,1.72
20,4.68,0.83
21,7.15,2.92
22,8.96,1.64
23,7.98,2.76
24,6.67,1.28
25,10.43,2.64
26,12.19,3.77
27,11.8,2.99
28,11.99,-0.06
29,9.97,0.22
30,12.4,1.85
31,12.02,3.22
32,13.85,3.21
33,10.47,3.65
34,12.9,1.89
35,13.41,5.46
36,15.48,4.77
37,12.06,4.15
38,13.01,4.79
39,13.18,1.39
40,17.52,4.42
41,15.66,4.62
42,18.5,6.63
43,15.11,3.74
44,15.48,6.14
45,19.38,8.12
46,18.11,7.66
47,20.49,8.27
48,17.33,6.03
49,19.77,4.2
50,20.12,8.99
51,20.2,9.59
52,20.64,5.8
53,19.81,8.92
54,19.97,6.53
55,22.04,7.75
56,21.47,8.71
57,23.38,6.1
58,22.95,8.99
59,21.26,11.54
60,23.3,10.87
61,23.98,13.21
62,26.37,12.19
63,25.76,9.95
64,27.4,12.83
65,25.82,14.57
66,25.88,14.5
67,24.35,12.37
68,26.44,12.26
69,25.66,11.53
70,27.04,16.09
71,28.49,14.9
72,26.68,17.6
73,31.76,13.29
74,30.37,16.52
75,30.67,17.05
76,29.89,17.26
77,28.23,20.09
78,27.04,17.6
79,31.86,18.1
80,31.12,19.58
81,31.88,19.81
82,31.58,18.47
83,31.17,21.47
84,31.22,21.44
85,32.9,23.19
86,32.84,22.19
87,34.51,21.26
88,34.45,22.54
89,32.01,21.46
90,34.16,27.46
91,36.78,24.09
92,36.78,26.37
93,35.41,26.8
94,36.52,28.86
95,39.47,29.48
96,35.86,30.84
97,34.93,28.79
98,36.94,31.41
99,42.21,27.68
100,40.05,30.2
101,41.32,32.44
102,40.18,32.2
103,40.53,32.87
104,37.54,31.19
105,42.21,36.21
106,40.37,35.0
107,41.12,33.55
108,42.58,35.06
109,40.41,35.37
110,42.19,38.17
111,42.24,41.66
112,44.84,39.53
113,45.89,39.25
114,42.15,38.36
115,44.8,43.68
116,46.2,39.36
117,45.07,41.4
118,44.91,43.15
119,43.95,42.32
120,50.18,46.39
121,48.63,44.7
122,46.71,46.41
123,48.81,46.41
124,47.6,46.45
125,49.36,49.76
126,50.86,50.61
127,50.26,51.45
128,51.26,49.33
129,48.08,49.42
130,50.65,55.33
131,52.76,54.31
132,53.8,55.83
133,55.03,54.77
134,48.56,54.43
135,52.67,58.41
136,53.87,60.0
137,52.99,60.2
138,52.03,60.25
139,52.6,59.63
140,55.91,62.14
141,57.09,62.81
142,54.81,63.34
143,56.54,66.48
144,53.57,62.99
145,57.95,71.24
146,57.72,69.69
147,57.45,70.18
148,59.06,65.51
149,58.88,69.07
150,56.97,68.48
151,59.77,73.02
152,59.83,72.23
153,56.24,71.34
154,61.04,71.78
155,60.61,76.8
156,60.57,78.0
157,60.14,77.95
158,61.07,75.52
159,60.9,77.14
160,65.74,81.04
161,64.19,81.85
162,64.41,84.91
163,63.72,82.13
164,63.63,80.13
165,67.98,87.07
166,65.18,87.91
167,64.71,89.26
168,65.98,85.92
169,66.06,86.75
170,68.73,93.53
171,69.9,91.77
172,70.52,92.67
173,68.71,93.37
174,67.61,92.14
175,70.78,99.34
176,69.1,98.9
177,71.03,99.29
178,69.21,99.59
179,72.54,96.55
180,70.9,102.63
181,73.42,103.79
182,73.4,104.07
183,72.12,103.3
184,74.46,104.56
185,73.51,109.18
186,72.47,108.19
187,74.33,108.1
188,76.01,110.21
189,71.64,108.32
190,77.42,113.91
191,76.89,116.08
192,74.79,114.54
193,78.35,112.8
194,73.39,117.7
195,78.54,122.97
196,78.65,122.29
197,75.99,120.9
198,76.87,121.6
199,75.42,121.08
