t=0.0 x=0.0 y=0.0 z=0.0
t=0.01 x=-2894.673186666667 y=-3663.3364033333337 z=0.0
t=0.02 x=-5329.743893333332 y=-6745.0256266666665 z=0.0
t=0.03 x=-7381.068840000001 y=-9341.06769 z=0.0
t=0.04 x=-9124.504746666666 y=-11547.462613333331 z=0.0
t=0.05 x=-10635.908333333333 y=-13460.210416666667 z=0.0
t=0.060000000000000005 x=-11991.119850666666 y=-15175.290277333334 z=0.0
t=0.07 x=-13251.925032 y=-16770.894762 z=0.0
t=0.08 x=-14440.443221333333 y=-18275.016874666668 z=0.0
t=0.09 x=-15571.845762666668 y=-19706.85661933333 z=0.0
t=0.09999999999999999 x=-16661.304 y=-21085.614 z=0.0
t=0.10999999999999999 x=-17723.989277333334 y=-22430.489020666664 z=0.0
t=0.11999999999999998 x=-18775.039999999994 y=-23760.64 z=0.0
t=0.12999999999999998 x=-19824.959999999995 y=-25089.359999999997 z=0.0
t=0.13999999999999999 x=-20874.879999999997 y=-26418.079999999994 z=0.0
t=0.15 x=-21924.8 y=-27746.799999999996 z=0.0
t=0.16 x=-22974.72 y=-29075.519999999997 z=0.0
t=0.17 x=-24024.640000000003 y=-30404.240000000005 z=0.0
t=0.18000000000000002 x=-25074.560000000005 y=-31732.960000000003 z=0.0
t=0.19000000000000003 x=-26124.480000000003 y=-33061.68 z=0.0
t=0.20000000000000004 x=-27174.4 y=-34390.40000000001 z=0.0
t=0.21000000000000005 x=-28224.320000000007 y=-35719.12000000001 z=0.0
t=0.22000000000000006 x=-29274.24000000001 y=-37047.840000000004 z=0.0
t=0.23000000000000007 x=-30324.160000000003 y=-38376.560000000005 z=0.0
t=0.24000000000000007 x=-31374.08000000001 y=-39705.280000000006 z=0.0
t=0.25000000000000006 x=-32424.000000000007 y=-41034.0 z=0.0
t=0.26000000000000006 x=-33473.920000000006 y=-42362.72 z=0.0
t=0.2700000000000001 x=-34523.84000000001 y=-43691.44000000001 z=0.0
t=0.2800000000000001 x=-35573.76000000001 y=-45020.16000000001 z=0.0
t=0.2900000000000001 x=-36623.68 y=-46348.88000000001 z=0.0
t=0.3000000000000001 x=-37673.600000000006 y=-47677.60000000002 z=0.0
t=0.3100000000000001 x=-38723.52000000001 y=-49006.320000000014 z=0.0
t=0.3200000000000001 x=-39773.44000000002 y=-50335.04000000001 z=0.0
t=0.3300000000000001 x=-40823.360000000015 y=-51663.76000000001 z=0.0
t=0.34000000000000014 x=-41873.28000000001 y=-52992.48000000002 z=0.0
t=0.35000000000000014 x=-42923.20000000002 y=-54321.20000000002 z=0.0
t=0.36000000000000015 x=-43973.120000000024 y=-55649.92000000002 z=0.0
t=0.37000000000000016 x=-45023.040000000015 y=-56978.64000000002 z=0.0
t=0.38000000000000017 x=-46072.960000000014 y=-58307.360000000015 z=0.0
t=0.3900000000000002 x=-47122.88000000002 y=-59636.08000000002 z=0.0
t=0.4000000000000002 x=-48172.800000000025 y=-60964.800000000025 z=0.0
t=0.4100000000000002 x=-49222.720000000016 y=-62293.52000000003 z=0.0
t=0.4200000000000002 x=-50272.64000000002 y=-63622.240000000034 z=0.0
t=0.4300000000000002 x=-51322.56000000001 y=-64950.96000000003 z=0.0
t=0.4400000000000002 x=-52372.480000000025 y=-66279.68000000004 z=0.0
t=0.45000000000000023 x=-53422.40000000002 y=-67608.40000000004 z=0.0
t=0.46000000000000024 x=-54472.32000000003 y=-68937.12000000002 z=0.0
t=0.47000000000000025 x=-55522.24000000002 y=-70265.84000000003 z=0.0
t=0.48000000000000026 x=-56572.16000000003 y=-71594.56000000004 z=0.0
t=0.49000000000000027 x=-57622.08000000002 y=-72923.28000000003 z=0.0
t=0.5000000000000002 x=-58672.00000000003 y=-74252.00000000003 z=0.0
t=0.5100000000000002 x=-59721.92000000002 y=-75580.72000000003 z=0.0
t=0.5200000000000002 x=-60771.840000000026 y=-76909.44000000005 z=0.0
t=0.5300000000000002 x=-61821.76000000003 y=-78238.16000000003 z=0.0
t=0.5400000000000003 x=-62871.680000000015 y=-79566.88000000002 z=0.0
t=0.5500000000000003 x=-63921.600000000035 y=-80895.60000000003 z=0.0
t=0.5600000000000003 x=-64971.52000000003 y=-82224.32000000004 z=0.0
t=0.5700000000000003 x=-66021.44000000003 y=-83553.04000000004 z=0.0
t=0.5800000000000003 x=-67071.36000000003 y=-84881.76000000002 z=0.0
t=0.5900000000000003 x=-68121.28000000003 y=-86210.48000000004 z=0.0
t=0.6000000000000003 x=-69171.20000000003 y=-87539.20000000004 z=0.0
t=0.6100000000000003 x=-70221.12000000004 y=-88867.92000000004 z=0.0
t=0.6200000000000003 x=-71271.04000000002 y=-90196.64000000004 z=0.0
t=0.6300000000000003 x=-72320.96000000002 y=-91525.36000000006 z=0.0
t=0.6400000000000003 x=-73370.88000000003 y=-92854.08000000005 z=0.0
t=0.6500000000000004 x=-74420.80000000003 y=-94182.80000000003 z=0.0
