t,x,y
0,-4.8,2.51
1,-1.9,2.18
2,-4.33,3.12
3,-1.19,-1.25
4,-4.9,3.4
5,-9.6,0.46
6,-9.39,-0.58
7,-7.54,-3.83
8,-6.49,-0.72
9,-8.09,-2.97
10,-10.13,2.77
11,-13.45,1.51
12,-12.1,-0.32
13,-11.9,1.47
14,-11.58,-0.14
15,-12.71,0.74
16,-11.4,-0.42
17,-9.46,1.8
18,-11.48,-2.91
19,-11.05,1.31
20,-9.74,-3.57
21,-13.43,-3.74
22,-11.35,-5.36
23,-10.71,-7.3
24,-12.17,-6.23
25,-8.76,-3.73
26,-6.7,-1.8
27,-7.06,-2.96
28,-8.35,-3.55
29,-8.63,-6.4
30,-11.08,-3.17
31,-9.7,-4.11
32,-8.39,-3.94
33,-11.13,-4.3
34,-9.63,-2.05
35,-11.93,-8.68
36,-11.43,-5.38
37,-12.91,-7.14
38,-14.35,-11.8
39,-10.9,-7.75
40,-13.33,-2.75
41,-13.7,-7.45
42,-14.1,-3.32
43,-15.8,-4.24
44,-14.69,-0.75
45,-14.75,-8.71
46,-14.08,-10.58
47,-15.05,-6.06
48,-17.15,-8.77
49,-13.63,-6.67
50,-17.0,-7.25
51,-15.68,-6.36
52,-17.19,-7.99
53,-16.26,-8.54
54,-16.8,-5.17
55,-10.46,-5.16
56,-11.49,-6.72
57,-12.26,-5.08
58,-13.55,-5.35
59,-12.01,-8.22
60,-9.36,-1.96
61,-10.7,-5.28
62,-11.72,-4.84
63,-7.62,-3.53
64,-9.09,-4.67
65,-9.67,-9.26
66,-9.26,-6.92
67,-11.51,-9.35
68,-12.78,-8.71
69,-13.35,-8.89
70,-16.77,-13.76
71,-11.24,-13.11
72,-15.11,-12.93
73,-14.42,-13.14
74,-13.4,-11.66
75,-19.76,-11.73
76,-19.94,-9.4
77,-21.67,-12.1
78,-18.23,-11.6
79,-18.87,-14.28
80,-15.35,-6.63
81,-14.07,-6.5
82,-17.57,-9.47
83,-16.76,-6.83
84,-14.45,-6.88
85,-10.86,-12.23
86,-9.52,-10.17
87,-10.15,-11.18
88,-12.81,-11.94
89,-10.16,-10.1
90,-9.53,-13.59
91,-9.01,-13.66
92,-8.94,-16.76
93,-9.71,-15.78
94,-12.26,-16.83
95,-13.5,-7.38
96,-12.66,-7.99
97,-12.79,-9.01
98,-10.19,-9.81
99,-12.37,-9.0
100,-8.69,-11.32
101,-4.66,-8.02
102,-6.96,-10.55
103,-5.83,-13.26
104,-8.29,-10.03
105,-8.07,-12.43
106,-10.42,-12.72
107,-8.1,-10.29
108,-10.06,-11.47
109,-11.57,-11.15
110,-14.84,-15.59
111,-12.55,-18.83
112,-11.44,-15.09
113,-11.19,-15.1
114,-13.41,-16.41
115,-15.24,-13.16
116,-15.5,-15.42
117,-16.98,-13.4
118,-16.58,-13.66
119,-17.03,-13.6
120,-17.13,-17.68
121,-18.02,-18.11
122,-16.41,-17.69
123,-18.91,-21.47
124,-16.82,-18.76
125,-18.38,-19.3
126,-19.71,-21.02
127,-16.48,-17.63
128,-17.05,-17.84
129,-17.82,-18.58
130,-14.69,-17.8
131,-15.44,-18.46
132,-12.68,-18.33
133,-12.86,-17.41
134,-14.85,-18.89
135,-13.71,-18.73
136,-11.99,-19.37
137,-12.83,-16.91
138,-12.36,-18.49
139,-14.25,-17.09
140,-7.17,-19.91
141,-11.16,-19.77
142,-12.78,-17.65
143,-11.7,-17.63
144,-9.29,-19.35
145,-7.1,-17.93
146,-7.51,-18.63
147,-8.34,-17.72
148,-10.38,-16.32
149,-9.32,-20.13
150,-7.54,-16.85
151,-7.88,-17.44
152,-7.21,-17.11
153,-5.61,-16.14
154,-9.85,-17.27
155,-9.86,-16.53
156,-5.2,-16.88
157,-7.72,-16.02
158,-8.05,-17.22
159,-7.56,-14.73
160,-7.36,-17.93
161,-9.31,-15.38
162,-7.75,-16.32
163,-6.84,-15.37
164,-7.65,-13.89
165,-9.26,-14.84
166,-9.11,-11.04
167,-11.26,-10.7
168,-11.34,-9.14
169,-11.83,-11.66
170,-6.12,-15.16
171,-8.44,-12.66
172,-8.61,-15.29
173,-5.41,-17.15
174,-7.96,-14.84
175,-9.91,-21.03
176,-10.03,-18.45
177,-9.49,-19.56
178,-11.05,-17.41
179,-10.21,-19.78
180,-9.39,-12.45
181,-10.88,-12.61
182,-10.2,-13.66
183,-10.69,-13.82
184,-10.33,-13.83
185,-6.97,-17.73
186,-6.87,-18.89
187,-8.78,-19.6
188,-7.83,-20.18
189,-10.09,-14.79
190,-10.32,-15.23
191,-9.41,-16.92
192,-9.21,-13.61
193,-9.81,-14.17
194,-7.96,-15.36
195,-7.78,-16.89
196,-7.84,-14.71
197,-8.04,-14.1
198,-7.59,-13.27
199,-9.1,-13.28
