t,x,y
0.0,0.0,0.0
1.5,5.313602316419521,-0.05491497712464925
3.0,3.809407508073045,0.8899812417574036
4.5,5.702840716989559,1.917758001649256
6.0,2.2759131315855097,0.3112991448131758
7.5,3.676644033840765,1.2388958333891098
9.0,5.9324763510599094,2.2680703544646685
10.5,6.445071473977847,3.4889907807542015
12.0,4.358893323966046,2.1060570285454507
13.5,3.757645937953973,2.9388558136076286
15.0,3.538156150927687,3.7451005811064357
16.5,5.680948675854513,5.43203944760359
18.0,2.1238394693742695,1.3710192698040964
19.5,0.6664005086898684,1.5199126000517187
21.0,0.3410074105567791,4.460431074439647
22.5,-1.3787047058198056,8.388738093257981
24.0,-2.667970277137691,5.334010868277657
25.5,-3.0844345529767083,6.305337119690945
27.0,-2.1660974121345853,3.637456995763663
28.5,-4.864192170816105,5.8356206689331955
30.0,-2.8729478069694063,0.36964396992899085
31.5,-6.868491793686093,3.0186391486219724
33.0,-7.6924975516226155,3.4724014730157826
34.5,-8.42692085144415,2.3931863915613616
36.0,-7.490672462880036,0.7768065940339866
37.5,-8.316030899178001,1.2158614045052327
39.0,-6.291857523146065,-0.24136359243692995
40.5,-7.72923918154247,-0.32054823631395946
42.0,-6.928699871242321,-2.3762991320554026
43.5,-8.834758119963029,-3.2159426809783884
45.0,-11.1589372778826,-4.304567920995131
46.5,-7.92481140915506,-3.9311599345805552
48.0,-9.957861864214744,-6.028818651782463
49.5,-11.055864463847467,-9.742319348401042
51.0,-5.990151897474404,-8.117381872916482
52.5,-6.477707380907187,-9.770678033681929
54.0,-8.68597412655516,-15.503608801307024
55.5,-7.374111828019324,-16.428883721533097
57.0,-4.453436133944797,-15.872231801149656
58.5,-3.407192830503286,-20.469324797938803
60.0,-1.565486812575932,-13.780028122804895
61.5,-1.1717595734126167,-19.491033874912212
63.0,0.4833321469973566,-15.317382633643144
64.5,2.475286891485597,-19.234957671387633
66.0,3.061927707565017,-17.68527397753133
67.5,2.0077257021366695,-12.193392899499454
69.0,4.6878365336539565,-14.664498420437457
70.5,4.240547522296753,-12.785354734540094
72.0,7.985113181123916,-14.441650925011073
73.5,7.564288336293637,-10.658504916724082
75.0,11.301867905283753,-9.824615289837457
76.5,9.165642638323977,-7.680525823126434
78.0,12.701948586136568,-6.216510666733088
79.5,12.779777988638184,-3.591565034123831
81.0,10.90965096983507,-1.4119285124926044
82.5,10.740947518227147,-0.20320991271192357
84.0,7.725647632253665,1.1943530335977397
85.5,9.955892576803782,4.697028921217438
87.0,5.719909502846258,7.2814146293741535
88.5,1.3676442688123487,7.024822446480147
90.0,2.5830301425082496,10.227238646673852
91.5,2.6714548921985806,14.590997645584718
93.0,-0.6454275142541093,14.861196464050803
94.5,-0.9248486443479464,18.632661196259523
96.0,-4.305555830914774,18.416301263381033
97.5,-6.219972025163614,19.343025690182124
99.0,-8.445910237000168,20.957530349562315
100.5,-9.964293815449075,21.43165735501624
102.0,-12.540892332328735,19.740557153095505
103.5,-13.721689764365221,20.723245014649358
105.0,-15.7368619660032,19.300496999189857
106.5,-20.33004245581182,25.19325469333845
108.0,-22.19257166701788,21.76791747735884
109.5,-27.735429042765873,23.788084114924327
111.0,-29.590942966765,20.71914489496186
112.5,-25.238986665527545,13.540689970644333
114.0,-29.24508219152323,15.080657375293775
115.5,-28.036178570702354,12.303181264156592
117.0,-33.084908380054145,12.39898106032538
118.5,-32.24349398110415,8.244409062623001
120.0,-32.06438987485423,6.25265669201524
121.5,-33.43350048149484,2.7720953918296374
123.0,-32.82182579808061,-0.6930034592070928
124.5,-35.46298825007533,-4.602572495952144
126.0,-31.262008978525955,-7.101250545683942
127.5,-29.93840164635018,-9.298448597798963
129.0,-30.817312796649354,-13.01882952181296
130.5,-28.190891422378808,-14.729977617493248
132.0,-26.165751816078327,-16.415289573912116
133.5,-23.42306491957911,-17.90122356216302
135.0,-20.919739642504474,-20.076950771998053
136.5,-19.184140121055307,-23.013444696328186
138.0,-16.694338073134837,-23.644334015704974
139.5,-14.323825256926732,-24.307841595522543
141.0,-10.039626693817894,-29.72018141443787
142.5,-6.962001332321692,-26.79674388168455
144.0,-3.567280928303105,-28.41134539666055
145.5,-1.2802275682948512,-27.163091134151724
147.0,-0.5534890491507429,-23.158070619155332
148.5,2.8561253119588734,-22.773598524981118
150.0,7.987638868482254,-23.218070790357242
151.5,6.0544470635602785,-17.969151141032818
153.0,10.749829130284658,-18.015227007215444
154.5,15.57001327339913,-16.04444444123061
156.0,14.143875965604513,-12.283609908179411
157.5,16.034250898116944,-8.873840283326636
159.0,16.47696491087816,-5.945703597084162
160.5,16.72542115102305,-1.1643168833279869
162.0,18.52348412943578,1.832027403143338
163.5,16.54582037694233,6.840926470832998
165.0,14.66718296352128,9.852027967816468
166.5,13.221059550851948,13.449117771785264
168.0,12.093044015859666,17.03238520849394
169.5,10.685992112300173,19.06352804894762
171.0,8.103734425308717,21.30594368583307
172.5,3.994297157150701,23.549267840556382
174.0,4.879676351231531,29.229647915234708
175.5,0.8934404065708712,32.131040203303044
177.0,-3.891932952075125,30.23188766099821
178.5,-7.049138697170999,32.49914463639958
180.0,-11.012766687817845,30.530729025112596
181.5,-14.151712937428599,31.15317262507201
183.0,-16.588218429965263,28.70927777536898
184.5,-20.009603274800153,28.444823537578486
186.0,-23.931791601780116,28.579714891051005
187.5,-30.47718287929622,31.934084479465575
189.0,-31.669917756921173,25.97567595406403
190.5,-35.356310767779796,23.85012409959768
192.0,-42.293751837260146,22.874864118018788
193.5,-42.82964639502343,16.415639666402967
195.0,-44.16745702619177,12.385971306225237
196.5,-46.27158326166268,8.548325607174968
198.0,-45.53730065345323,4.120418204485556
199.5,-41.432046651885145,0.261042823365631
201.0,-47.24716610708026,-4.410092967701699
202.5,-48.36867522074655,-8.938556995937498
204.0,-44.43883938104612,-12.23976086499943
205.5,-43.232175182176064,-16.64259223930189
207.0,-44.58545509923761,-22.56848540398076
208.5,-39.68242044015797,-25.2651116055678
210.0,-38.441368859293895,-30.335164219885378
211.5,-33.66956775163369,-31.086334696530795
213.0,-29.91419030677146,-35.00753528907547
214.5,-27.013539902206112,-40.13951848433175
216.0,-22.927873088183105,-41.36955254379323
217.5,-18.82529485179338,-44.724800712887586
219.0,-11.645507655831963,-43.40094790799696
220.5,-7.756141398479579,-43.259746340613106
222.0,-2.7036735543685095,-43.90972821637972
223.5,1.5863921176084048,-42.61970337211797
225.0,5.8580500007639795,-40.78238443073196
